Name,Category,Type,Address,Cost Range,Tips,Website
"Cervecería Catalana","Tapas","Restaurant","C/ de Mallorca 236 Eixample","20-30 EUR pp","Lively reliable tapas bar. Great croquetes de bacallà and pa amb tomàquet. Walk-in only — arrive at opening. Good for groups and families.","N/A"
"Mauri Pastissería","Breakfast","Pastry Shop","Rambla de Catalunya 83 Eixample","8-15 EUR","Classic Catalan pastry institution since 1929. Belle-époque interior worth seeing. Order ensaïmada or croissant de mantequilla. Splurge once.","https://www.pasteleriasmauri.com/"
"Xurrería Laietana","Breakfast","Churros Bar","C/ de la Xucla 4 El Raval","5-8 EUR","Generations-old churros bar. Hot chocolate so thick you can stand a spoon in it. Go early morning — closes when sold out. Guaranteed hit with kids.","N/A"
"Bar Calders","Café Vermouth","Neighbourhood Bar","C/ del Parlament 25 Sant Antoni","8-15 EUR","Best morning café in Sant Antoni. Pa amb tomàquet + café amb llet for breakfast. Doubles as excellent vermouth bar at midday. Beloved by locals.","N/A"
"Quimet & Quimet","Tapas","Standing Bar","C/ del Poeta Cabanyes 25 Poble-sec","15-20 EUR pp","See above — listed twice for map visibility (Poble-sec). CLOSED ALL AUGUST — not available during our stay.","N/A"
"Bar Marsella","Bar","Historic Bar","C/ de Sant Pau 65 El Raval","8-12 EUR","Operating since 1820 — oldest bar in Barcelona. Absinthe bar with dusty bottles and peeling mirrors. Hemingway drank here. No music no Wi-Fi. Time capsule.","N/A"
"La Mar Salada","Seafood","Restaurant","Pg. de Joan de Borbó 58 Barceloneta","30-45 EUR pp","Day 3 Option B dinner alternative if you want the rice - book in the morning. Waterfront paella and fresh seafood. More intimate than 7 Portes. Easier to book. Good terrace.","https://www.lamarsalada.cat/en/"
"El Nacional","Multi-Restaurant","Food Hall","Pg. de Gràcia 24 bis Eixample","25-40 EUR pp","Four restaurants four bars under spectacular 19th-century industrial hall. Ideal for families — everyone picks what they want. Walk-in friendly even in August.","https://www.elnacionalbcn.com/en/"
"Kaiku","Seafood","Restaurant","Pl. del Mar 1 Barceloneta","30-40 EUR pp","Tiny local-favourite. Possibly best arros negre (squid ink rice) in Barcelona per local food writers. Lunch only. Book ahead — small room.","N/A"
"La Pepita","Sandwiches","Gourmet Bocadillo","C/ del Comte Borrell 98 Sant Antoni","8-15 EUR pp","Gourmet bocadillos with creative fillings. Queue moves fast. Great quick lunch between sights. Sobrasada + honey + brie is outstanding.","N/A"
"Bar del Convent","Café","Hidden Courtyard","C/ del Comerç 36 El Born","5-10 EUR","Hidden café in courtyard of 17th-century convent. Quiet shaded atmospheric. Completely tourist-free. Coffee + pastry in courtyard silence. Tue-Sun.","N/A"
"Forn de Sant Jaume","Breakfast","Pastry Shop","Rambla de Catalunya 50 Eixample","5-10 EUR","Outstanding traditional Catalan pastry shop. Ensaïmada and coca de llardons (pork fat pastry — Catalan specialty). Go at 8am for fresh pastries.","N/A"
"Morro Fi","Vermouth Bar","Neighbourhood Bar","C/ del Consell de Cent 171 Eixample","10-16 EUR","Excellent craft vermouth selection and light tapas. Favourite of local food crowd. More modern than Bodega Quimet but equally good.","N/A"
"Bodega Sepúlveda","Bodega","Neighbourhood Bar","C/ de Sepúlveda 173 Sant Antoni","10-15 EUR","Neighbourhood bodega beloved by locals completely off tourist map. Wine from barrels simple food old regulars. The kind of place you return to daily.","N/A"
"Federal Café","Coffee / Brunch","Specialty Coffee","Pg. de Sant Antoni Abat 24 Sant Antoni Barcelona","€12–20/person","Australian-owned specialty coffee and brunch spot in Sant Antoni — pioneer of Barcelona brunch culture. Eggs dishes, sourdough, excellent coffee. Arrive before 10am on weekends to avoid queues.","N/A"
"La Barceloneta Restaurant","Seafood","Beach Restaurant","Pg. Marítim de la Barceloneta Barceloneta Barcelona","€20–30/person","Traditional chiringuito run by the same family for decades on the Barceloneta waterfront. Utterly authentic — grilled fish, cold beer, plastic chairs, sea air. Best for weekday lunch.","N/A"
"Tickets","Avant-Garde Tapas","Creative Restaurant","Av. del Paral·lel 164 Poble-sec Barcelona","€65–90/person","PERMANENTLY CLOSED. Albert Adrià's famous tapas bar shut in 2021; its successor Teatro Kitchen & Bar closed Dec 2025 too. Do not plan a visit. Adrià's current flagship is Enigma (book far ahead) if a gastro splurge ever returns to the plan.","N/A"
"Parking Pizza","Pizza","Neighbourhood Restaurant","C/ de Londres 98 Eixample/Gràcia Barcelona","€15–22/person","Gràcia neighbourhood pizza restaurant — thin-crust Neapolitan style, outstanding quality, completely non-tourist. Beloved local spot. Good for a relaxed family dinner. Can book or walk in on weeknights.","N/A"
"Xuixo pastisseries — Carrer Nou / Rambla de la Llibertat (Girona)","Day Trip — Pastry","Pastry Shops","Carrer Nou Girona","€2–3 each","THE Girona thing to eat. Xuixo (say SHOO-show) — fried sugar-crusted brioche cylinder filled with crema catalana. Invented in Girona. Stacked in every pastisseria window along Carrer Nou and the Rambla de la Llibertat arcades. Ask for one acabat de fer (just made) — cold ones are sad. One each, they are rich.","N/A"
"Rocambolesc (Girona)","Day Trip — Ice Cream","Gelato","C/ de Santa Clara 50 Girona","€5–8/person","Jordi Roca's ice cream shop — same family as El Celler de Can Roca (3 Michelin stars, repeatedly ranked world's best restaurant). The cheap way to eat their cooking. Absurd toppings, kids love it. Mid-afternoon heat stop on the Girona day.","https://rocambolesc.com/"
"Placa de la Independencia terraces (Girona)","Day Trip — Lunch","Square Terraces","Placa de la Independencia Girona","€15–25/person","Big arcaded square with shaded awnings across several restaurants — the easy lunch call with four people on the Girona day trip. Girona is Celler de Can Roca's home city; even ordinary places punch above their weight.","N/A"
"Koy Shunka","Japanese","Fine Dining","C/ d'en Copons 7 El Gòtic Barcelona","€70–110/person","Barcelona's best Japanese restaurant, tucked behind the cathedral. Japanese chef, top-quality ingredients. Omakase or kaiseki menu. Book weeks ahead. Worth it for a blowout meal.","N/A"
"Honest Greens","Healthy Fast-Casual","Café","Multiple locations Barcelona","€12–18/person","Fresh Mediterranean fast-casual with Spanish ingredients. Great for a quick nourishing lunch that everyone can agree on. Good option for the day after a heavy meal.","N/A"
"DelaCrem","Gelato","Artisan Gelato","C/ d'Enric Granados 15 Eixample","3-5 EUR","Cult artisan gelato near the centre — pistachio from Bronte and seasonal fruit sorbets. Family treat after a Gaudi morning. Note: Eixample location — a 20-min detour from the Gracia squares, pair with a Passeig de Gracia evening walk instead.","N/A"
"Bar Jai-Ca","Seafood Tapas","Neighbourhood Classic","C/ de Ginebra 13 Barceloneta","15-25 EUR pp","Barceloneta institution since 1955 — bombas, la raspa (crispy fried anchovy spines), calamari, tortilla. Open daily ~09:00-23:00. Day 3 Option B DINNER at ~20:45, and the standing backup if La Cova Fumada is closed or sold out (2 min away). Packs out after 17:00 — easy at noon.","https://barjaica.com/en/"
"Gelaaati di Marco","Gelato","Artisan Gelato","Carrer de la Llibreteria 7 El Gotic","3-6 EUR","Artisan gelato steps from Placa Sant Jaume in the Gothic Quarter. Open daily ~11:00-24:00; full flavour range ready from ~12:00. The cool-down stop on the Day 4 Gothic churches loop.","N/A"
"Granja La Pallaresa","Breakfast","Granja (Chocolate Bar)","C/ de Petritxol 11 El Gotic","5-8 EUR","The Carrer de Petritxol granja institution since 1947 — thick xocolata amb xurros, marble tables, waistcoated waiters. Day 3 Option B breakfast, 09:00. Order the suis (chocolate topped with whipped cream) and share. Split morning/afternoon hours — go before ~10:30.","N/A"
"Granja Dulcinea","Breakfast","Granja (Chocolate Bar)","C/ de Petritxol 2 El Gotic","5-8 EUR","The other classic granja on Petritxol (since 1941) — the Day 3 Option B breakfast backup if La Pallaresa is packed. Same ritual: thick hot chocolate, xurros, melindros for dunking.","N/A"
"Los Tarantos","Flamenco Dinner","Tablao (show only)","Plaça Reial 17 08002 Barcelona (Gòtic)","€20/person","Barcelona's oldest tablao (1963). A straight 30-minute set of cante baile and guitar — no dinner no filler. Roughly hourly 19:30 20:30 21:30. The low-commitment option: half an hour and about €80 for four. Nothing booked — decide on the ground.","N/A"
"Palau Dalmases","Flamenco Dinner","Palace Salon Show","C/ de Montcada 20 08003 Barcelona (El Born)","€30/person incl. drink","Flamenco in the candlelit baroque salon of a 17th-century palace. About 70 seats no stage — dancers within arm's reach. Shows roughly 18:00 19:30 21:30. Best fit: Day 3 Option B 21:30 - 3 min from the Picasso Museum and Santa Maria del Mar which are already on that day's route, and the only evening this trip with room for it.","https://palaudalmases.com"
"Tablao Cordobés","Flamenco Dinner","Historic Tablao","La Rambla 35 08002 Barcelona","€45–50 show + drink; €65–90 with tapas buffet","On La Rambla since 1970 in a Moorish-tiled room — Camarón Paco de Lucía and Antonio Gades all played it. The full tablao night at below-Madrid prices. Book direct on their site; the Rambla touts resell the same seats dearer.","https://tablaocordobes.com"
"Tablao de Carmen","Flamenco Dinner","Tablao in Poble Espanyol","Poble Espanyol Av. Francesc Ferrer i Guàrdia 13 08038 Barcelona (Montjuïc)","€45–50 show + drink; dinner tiers higher","Named for Carmen Amaya the greatest bailaora of the 20th century who was born on Barceloneta beach. Ticket includes entry to Poble Espanyol. NOT ON THIS TRIP — its logic rode the Montjuïc-castle stop, which Day 5 (now Girona) no longer includes. Kept for reference.","https://tablaodecarmen.com"
"Palacio del Flamenco","Flamenco Dinner","Theatre-Format Tablao","C/ de Balmes 139 08008 Barcelona (Eixample)","€45 show + drink; €60–90 with dinner","The big theatre-format one — three shows a night roughly 17:30 19:45 21:30 and full dinner menus. Least intimate but easiest to book late. The Thursday fit: out of the Sagrada about 19:45 dinner 20:15 Metro to the 21:30.","https://palaciodelflamenco.com"
"Gran Gala Flamenco (Palau de la Música)","Flamenco Dinner","Flamenco in a Concert Hall","Palau de la Música Catalana C/ Palau de la Música 4-6 08003 Barcelona","€35–60/person","Flamenco under Domènech i Montaner's inverted stained-glass dome — the only way inside the Palau without paying the €22 tour. Two sights on one ticket. WARNING: selected evenings only not nightly — check the calendar for Aug 26–30 before counting on it.","https://www.palaumusica.cat"
"23 Robadors","Flamenco Dinner","Local Bar (not a tablao)","C/ d'en Robador 23 08001 Barcelona (El Raval)","€5–10/person","The anti-tablao: a scruffy Raval bar where local artists play for a few euros. One late flamenco night a week (traditionally Wednesday) from about 22:30 — verify. NOT a family plan: late and in the one barrio flagged against after dark. Listed because it's the real thing.","N/A"
"Bar La Plata","Tapas","Bodega","Carrer de la Merce 28 08002 Barcelona Gothic Quarter","3.50-7 EUR per tapa","LOCALS PICK Open 1945 Still serves the same four tapas anchovies pescaito frito botifarra tomato salad Wine from three barrels in tiny glasses Mon-Sat 11:30-15:00 and 18:00-23:00 CLOSED SUNDAY Tables go early standing crowd spills onto the pavement","N/A"
"Bodega La Palma","Tapas","Bodega","Carrer de la Palma de Sant Just 7 08002 Barcelona Gothic Quarter","15-25 EUR person","Old barrel bodega in the alleys south of the cathedral Young chefs took over and kept the room Tortilla croquetas bravas plus creative ones Book for weekends Sunday-open alternative to 7 Portes for the farewell","N/A"
"Bodega La Peninsular","Seafood Tapas","Bodega","Carrer del Mar Barceloneta 08003 Barcelona","15-25 EUR person","One of the few Barceloneta rooms still pointed at fresh fish rather than tourist paella High ceilings marble tables chalkboard that changes with the catch","N/A"
"Koska Taberna","Pintxos","Pintxo Bar","Carrer de Blai 8 08004 Barcelona Poble-sec","2-3 EUR per pintxo","Highest rated bar on Carrer de Blai Only tortilla on the street locals treat as a reference Skip the display case and order hot raciones from the chalkboard behind the bar Start the Day 4 crawl here","N/A"
"La Tasqueta de Blai","Pintxos","Pintxo Bar","Carrer de Blai 15-17 08004 Barcelona Poble-sec","From 1.90 EUR per pintxo","Volume champion of the street 50 plus pintxos colour coded toothpicks fast rotation Mini burgers quail egg over jamon Deafening and fun Second stop after Koska","N/A"
"Blai 9","Pintxos","Pintxo Bar","Carrer de Blai 9 08004 Barcelona Poble-sec","1-1.50 EUR per pintxo","Blinis and crepes instead of baguette bases White plate 1 EUR black plate 1.50 EUR Cheapest stop on the strip","N/A"
"Celler Cal Marino","Vermut Tapas","Wine Bar","Poble-sec Barcelona","10-18 EUR person","Off the pintxo strip Wine and vermut from the barrel cured meats Where long-time Poble-sec locals drink Finish the Blai crawl here","N/A"
"Bar Restaurante el Xuleto","Catalan","Neighbourhood Restaurant","Eixample Dret about 10 min walk from Sagrada Familia Barcelona","14-22 EUR person","NEAR HOTEL DEFAULT Days 2 and 3 Honest Catalan home cooking grilled meat Weekday set lunch around 12.90 EUR Neighbourhood room not a basilica feeder Go 13:30 for the menu or 20:30 for dinner","N/A"
"La Bendita","Catalan","Neighbourhood Restaurant","Carrer de Sardenya near Sagrada Familia Barcelona","15-25 EUR person","Casual Catalan-Mediterranean 2 minutes from the hotel Open Sundays kitchen non-stop to midnight no booking needed Featured Day 5 farewell dinner pick alongside el Xuleto and Bodega La Palma","N/A"
"Casa Amalia","Catalan","Traditional Restaurant","Passatge del Mercat 14 08013 Barcelona Eixample","18-28 EUR person","Traditional Catalan off the Mercat de la Concepcio Seasonal card proper sit-down table for four Book ahead Verify Monday closure","N/A"
"El Tastet de l Artur","Catalan","Family Restaurant","Eixample about 10 min from Sagrada Familia Barcelona","14-20 EUR person","Humble family restaurant home style Catalan cooking No English signage The no reservation option near the hotel","N/A"
"Santa Magdalena","Catalan","Traditional Restaurant","Carrer de Santa Magdalena 6 08012 Barcelona Gracia","15-22 EUR person","Gracia neighbourhood dining room Croquetes de rostit canelons artichokes with romesco Also serves esmorzars de forquilla Booking advised small room","N/A"
"Bodega Cal Pep Gracia","Tapas","Bodega","Carrer de Verdi 141 08024 Barcelona Gracia","12-18 EUR person","NOT the famous Born counter of the same name Old barrel bodega fifty years back in time vermouth conserves cheese and jamon Grazing rather than a hot meal","N/A"
"La Vermuteria del Tano","Vermut","Vermut Bar","Carrer de Joan Blanques 17 08012 Barcelona Gracia","8-15 EUR person","Very old school humble Gracia vermut bar Lhora del vermut the way the neighbourhood does it at half the Passeig de Gracia price","N/A"
"La Pubilla","Catalan","Market Restaurant","Placa de la Llibertat 23 08012 Barcelona Gracia","Around 20 EUR menu del dia","Gracia classic opposite the Mercat de la Llibertat Market cooking three generous courses Also esmorzars de forquilla 8am to noon Book ahead fills fast","N/A"
"Bartali Pizza Co.","Pizzeria","Neapolitan Pizza","Carrer Nou del Teatre 3 17004 Girona","~15 EUR person","DAY 5 GIRONA LUNCH - BOOKED 30-08-2026 14:00h, 4 people, SVYATOSLAV PODOLSKIY, table COMEDOR INTERIOR (indoor). Neapolitan style pizza, 4.8 stars over ~725 reviews, gluten-free bases available. SUNDAY HOURS ARE 13:00-15:30 ONLY so there is no second sitting. Call +34 972 21 09 91 if the day slips. Minutes downhill from the Sant Marti steps.","https://bartalipizza.com/"
"Draps Girona","Catalan","Menu del Dia","Carrer de la Cort Reial 2 17004 Girona","13-18 EUR person","Day 4 (Sat Aug 29) Girona lunch BACKUP. Well loved local room in the Barri Vell. Menu del dia with plenty of wine included but the menu del dia is usually weekday only. Two streets off Placa de la Independencia","N/A"
"El Carrito Barri Vell","Grill","Argentine Grill","Carrer La Barca 10 17004 Girona","12-18 EUR person","Argentine grill on a medieval lane Big plates of meat and chips very cheap completely local crowd Easy to walk past Packed by 22:00 Check Sunday hours","N/A"
