Name,Category,Type,Address,Cost Range,Tips,Website
Centro de Arte Alcobendas,Sight,Art Centre,"Calle de la Mancha 3, 28100 Alcobendas",Free,"ALTERNATIVE for the 15:00-18:00 gap if you do not go back into town - strong photography collection, Tue-Sat (verify). Taxi ~10 min, ~12 EUR from campus, or C-4b two stops. Parque de Andalucía's lake is nearby; Moraleja Green / Plaza Norte 2 malls if it is 32 C and everyone wants air conditioning.",N/A
Parque del Retiro,Sight,Park,"Parque del Retiro, 28009 Madrid",Free,"18:30 - walk 15 min up past Atocha's brick facade to the Puerta del Ángel Caído gate, named for the park's Fallen Angel statue inside, one of the world's only public monuments to Lucifer, standing exactly 666 m above sea level. Into the shaded avenues.",N/A
Rowboats on the Estanque,Activity,Rowboats,"Estanque Grande del Retiro, 28009 Madrid","6 EUR per boat, 45 min (weekday rate; 8 EUR weekends)","19:00 - THE BEST FAMILY ACTIVITY IN MADRID, and one boat takes all four. Sun low over the Alfonso XII colonnade, water gone gold, one daughter per oar, terrapins surfacing around the blades. The lake is the 1630s royal pleasure pond where Habsburg kings staged mock naval battles. Ticket kiosk on the WEST QUAY - that is also the meeting point for Emily, ~18:50, off the 18:10 C-4. LAST BOATS ~20:00 - buy the ticket while you wait rather than after she arrives.",N/A
Palacio de Cristal,Sight,Glass Pavilion,"Paseo de República de Cuba 4, 28009 Madrid",Free,"20:10, a 10-min stroll south through the trees - the 1887 glass-and-iron pavilion, built as a greenhouse for Philippine plants, now a light-box for free contemporary-art installations (Retiro exhibitions run till ~21:00 in summer). Peacocks patrol the gardens nearby; the girls will hear them before they see them.",N/A
Puerta de Alcalá,Sight,Monument,"Plaza de la Independencia, 28001 Madrid",Free,"20:45 exit - Carlos III's 1778 triumphal gate, floodlit by now. Mirador Cibeles rooftop (3 EUR) is shut by this hour - a daytime option only.",N/A
Iglesia de San Pedro el Viejo,Sight,Church,"Costanilla de San Pedro 2, 28005 Madrid",Free from outside,"FREE WALK-BY on the way into the crawl - the 14th-century Mudéjar brick tower, possibly the oldest structure in Madrid, leaning over the lane and floodlit. Plaza de la Paja, the city's loveliest medieval square, is one block further.",N/A
Bodegas Ricla,Dinner,Wine Bar,"Calle de Cuchilleros 6, 28005 Madrid","~10 EUR/person","21:15, CRAWL STOP 1 - KITCHEN CLOSES ~22:00, so this one goes first. Wine from the barrel, boquerones, embutidos in a century-old box of a bar. No bookings, walk in.",N/A
Casa Lucio,Dinner,Castilian,"Calle Cava Baja 35, 28005 Madrid","25-30 EUR/person","CRAWL STOP 2 - BOOK 21:45. Huevos rotos con jamón, the dish kings and Clintons queue for. Closed all August, reopens this week. If the family wants one sit-down instead of a crawl, make it this and skip the rest.",https://casalucio.es
Casa Toni,Dinner,Tapas,"Calle de la Cruz 14, 28012 Madrid","~10 EUR/person","CRAWL STOP 3 - oreja a la plancha for whoever is brave, fluorescent-lit and proud. Open past midnight, no bookings.",N/A
Casa González,Dinner,Ultramarinos,"Calle del León 12, 28014 Madrid","15-25 EUR/person","THE WRECKED-AFTER-THE-BOATS OPTION - family ultramarinos since 1931, 7 min from Reina Sofía. Quiet cheese-and-charcuterie boards, no crawl required.",https://casagonzalez.es
Cardamomo,Activity,Flamenco Tablao,"Calle de Echegaray 15, 28014 Madrid","from ~39 EUR with a drink","OPTIONAL SWAP - the critics' pick for real-deal flamenco, 100 seats close enough to feel the footwork. Shows 18:00/19:30/21:00/22:30. Doing it means booking the 21:00 show and compressing dinner to pre-show tapas at Casa Toni or Casa Labra. TONIGHT IS THE ONLY SLOT - Sep 4 is Emily's move-in day and ends with the Chamberí farewell dinner.",https://cardamomo.com
