Name,Category,Type,Address,Cost Range,Tips,Website,Family
"Montjuïc Castle","Main Attraction","Castle","Ctra. de Montjuïc 66 Montjuïc","5 EUR (under 16 free; free Sun after 15:00)","17th-century fort with 360° harbour and city views. Take funicular from Paral·lel metro (free with T-Casual) then cable car to summit. Walk the ramparts.","https://www.bcn.cat/castelldemontjuic/en/","Excellent"
"Barceloneta Beach","Main Attraction","Beach","Passeig Marítim de la Barceloneta","Free","Iconic 5km city beach. Go 07:00-09:00 for golden hour with almost no tourists. Rebuilt for 1992 Olympics. Barceloneta neighbourhood behind beach has real character.","N/A","Excellent"
"Casa Vicens","Main Attraction","Gaudí House","C/ de les Carolines 20-26 Gràcia","16-18 EUR (under 12 free)","Gaudí's vibrant first house — Moorish-inspired tile work revolutionary for 1885. Less crowded than the Eixample Gaudí houses. In Gràcia neighbourhood. Almost no queues.","https://www.casavicens.org/en/","Good"
"Palau Güell","Main Attraction","Gaudí Mansion","C/ Nou de la Rambla 3-5 El Raval","12 EUR (under 12 free)","Gaudí's early opulent mansion. Central hall with parabolic dome is unlike anything else. Rooftop chimneys = early experiments that led to La Pedrera. Book online.","https://www.palauguell.cat/en/","Good"
"Parc de la Ciutadella","Main Attraction","Park","Pg. de Pujades 1 Sant Pere","Free; rowing €6/30 min","19th-century central park. Row boats on the lake. Find the Cascada monumental fountain (Gaudí contributed as student). Great relaxed morning before museums open.","N/A","Excellent"
"La Boqueria Market","Main Attraction","Market","La Rambla 91 El Raval","Free entry","Spectacular but touristy. Mon-Sat 08:00-20:30 — CLOSED SUNDAYS (don't route Day 5 through it). Don't eat at front stalls; the back half (fishmongers butchers) is where locals shop. Go before 10:00. Better alternative: Mercat de Santa Caterina.","N/A","Good — walk-through only"
"Palau de la Música Catalana","Main Attraction","Concert Hall","C/ del Palau de la Música 4-6 Sant Pere","Tour 22 EUR (under 10 free)","Stained-glass modernist concert hall by Domènech i Montaner. UNESCO World Heritage. The main hall ceiling — inverted stained-glass dome — is one of the most beautiful architectural details in Europe. Book ahead.","https://www.palaumusica.cat/en/","Good"
"Bunkers del Carmel","Hidden Gem","Viewpoint","Ctra. del Carmel El Carmel","Free","THE best 360° panorama in Barcelona — Civil War anti-aircraft battery ruins. ACCESS RESTRICTED since 2023: perimeter fence, open 09:00-19:30 in summer, cleared BEFORE sunset, fines for climbing in. NOT a sunset or picnic-night spot anymore — daytime visit only. Bus 24/V19 or taxi ~10 EUR then 15-min uphill walk.","N/A","Yes — daytime only"
"Hotel Barcelona Raval Rooftop","Hidden Gem","Free Rooftop","C/ de Joaquin Costa 28 El Raval","Free (municipal roof law)","360° views: Cathedral Sagrada Família port. Walk into hotel lobby take lift to floor 11 from 12:00. Nobody stops you (municipal law: all Barcelona rooftops are public). Almost no tourists know this exists.","N/A","Yes"
"Plaça de Sant Felip Neri","Hidden Gem","Hidden Square","Pl. de Sant Felip Neri El Gòtic","Free","Hidden Civil War square — bullet holes still visible in church walls from 1938 bombing. Hard to find. Completely peaceful and shaded. Extraordinary contrast with chaotic Gothic Quarter outside.","N/A","Yes"
"El Call (Jewish Quarter)","Hidden Gem","Historic District","El Gòtic","Free to walk; Synagogue Major €3","One of best-preserved medieval Jewish quarters in Europe. Hebrew inscriptions on walls. Synagogue Major — possibly Europe's oldest (€3).","N/A","Yes"
"Carrer de Petritxol","Hidden Gem","Historic Lane","El Gòtic","Free","Barcelona's most charming pedestrian lane. Granjas (historic milk bars) serving thick Catalan hot chocolate and churros since 19th century. Perfect with children.","N/A","Excellent"
"Parc del Laberint d'Horta","Hidden Gem","Park with Maze","Pg. dels Castanyers 1 Horta-Guinardó","2.23 EUR (free Wed + Sun)","Oldest garden in Barcelona (1791). The cypress maze is genuinely challenging — adults and kids both get properly lost. Almost no tourists.","N/A","Excellent — maze is the highlight"
"Monestir de Pedralbes","Hidden Gem","Medieval Monastery","Baixada del Monestir 9 Les Corts","~5 EUR — FREE every Sunday from 15:00 (not just the first Sunday)","Medieval monastery of Poor Clares. Three-story Gothic cloister around a garden — extraordinary serenity. CLOSED MONDAYS. NOT ON THIS TRIP — Day 5 is Girona now. Kept for reference: arrive 15:00 Sunday = free, combine with upscale Sarrià neighbourhood walk.","N/A","Yes — remarkable quiet"
"Torre Bellesguard","Hidden Gem","Gaudí Site","C/ de Bellesguard 16 Sant Gervasi","16 EUR guided; 9 EUR self-guided","Gaudí's least-known major work — medieval Gothic manor blending with modernisme. Built on ruined 15th-century royal palace. Almost no queues ever. Medieval basement remains extraordinary.","https://www.bellesguardgaudi.com/en/","Good"
"El Born Centre de Cultura","Hidden Gem","Cultural Centre","Pg. del Born 5 El Born","7 EUR (free Sun 15:00-20:00)","Excavated 18th-century city ruins under 19th-century iron market roof. Neighbourhood razed by Philip V after 1714 siege — rediscovered during renovation. A ghost-city under glass.","N/A","Good — older teens"
"Mercat de Santa Caterina","Hidden Gem","Market","Av. de Francesc Cambó 16 El Born","Free entry","Far fewer tourists than Boqueria. Enric Miralles's spectacular undulating ceramic mosaic roof (2005). Locals actually shop here. One of the great pieces of contemporary architecture in the city.","N/A","Excellent"
"Mercat de Sant Antoni","Hidden Gem","Market","Rondas de Sant Antoni 1 Sant Antoni","Free entry","Spectacular renovated 19th-century iron market. Local alternative to tourist Boqueria. Sunday morning: antique book market fills surrounding arcade.","N/A","Excellent"
"Casa Amatller","Main Attraction","Modernist House","Pg. de Gràcia 41 Eixample","19 EUR tour","Part of the Manzana de la Discordia (Block of Discord) with Casa Batlló. Chocolate museum inside. Gothic and Flemish influences — completely different from Gaudí next door.","https://www.amatller.org/en/","Good"
"Arc de Triomf","Hidden Gem","Monument","Pg. de Lluís Companys Sant Pere","Free","1888 World's Fair triumphal arch on wide palm-lined promenade. Walk the promenade toward Ciutadella Park — popular evening walk for locals.","N/A","Yes"
"Torre Glòries (The Cucumber)","Hidden Gem","Architecture","Av. Diagonal 211 Poblenou","Free to view","Jean Nouvel's bullet-shaped LED skyscraper. 4500 light points create changing colour patterns at night. Spectacular from Poblenou at dusk.","N/A","Yes"
"Rambla del Poblenou","Hidden Gem","Promenade","Rambla del Poblenou","Free","Poblenou's own tree-lined promenade — completely local weekend farmers market zero tourists. The anti-Las Ramblas.","N/A","Yes"
"Plaça del Sol","Hidden Gem","Square","Gràcia","Free","The living room of Gràcia — residents bring chairs and sit for hours. Grab beer from corner shop (local habit). Real neighbourhood life.","N/A","Yes"
"Carrer de Verdi","Hidden Gem","Street","Gràcia","Free","Heart of bohemian Gràcia. Independent bakeries artisan shops indie cinema. Creative energy. Teens love it.","N/A","Yes"
"Carretera de les Aigües","Hidden Gem","Hiking Trail","Collserola above Sant Gervasi","Free","Flat walking/cycling trail along Collserola hillside with panoramic views. FGC to Peu del Funicular then walk up. City below Pyrenees above. Zero tourists.","N/A","Excellent"
"Tibidabo Amusement Park","Hidden Gem","Amusement Park","Pl. del Tibidabo 3-4 Tibidabo","Park entry ~39 EUR (skip); summit + church free","Hilltop funfair with city + Pyrenees + sea views. Cheapest route is fully covered by T-casual: FGC S1/S2 to Peu del Funicular then Vallvidrera funicular (integrated fare) then bus 111 to the summit. Best views in the city from the Sagrat Cor church tower lift. NOT ON THIS TRIP — Day 5 is Girona now. Kept for reference.","https://www.tibidabo.cat/en/","Excellent — teens enjoy the funicular + views"
"Montserrat","Day Trip","Mountain Monastery","Montserrat (1 hr from Barcelona)","Tot Montserrat combo ~71.50 EUR pp all-in (Trans ~50 EUR); full price from age 5","Day 3 Fri Aug 28. FGC R5 from Placa Espanya 08:36 + rack railway (gentler) or Aeri cable car. Benedictine monastery + Black Madonna + Escolania boys choir 13:00 — 2026 summer break Aug 1-26, back Aug 27, Fri Aug 28 CONFIRMED singing; free but RESERVATION REQUIRED at reserves.abadiamontserrat.cat (abbey ticket shop - NOT escolania.cat). Sant Joan funicular included; SANTA COVA FUNICULAR OUT OF SERVICE (chapel walkable ~25 min, Gaudi-linked Rosary monument en route). Buy mato cheese + honey from the farmers stalls.","N/A","Excellent"
"Sitges","Day Trip","Coastal Town","Sitges (40 min from Barcelona)","~8 EUR return train","Whitewashed old town. Church on the sea breakwater. Cau Ferrat museum. Beautiful beaches. Best day trip for beach + culture.","N/A","Excellent"
"Girona","Day Trip","Medieval City","Girona (38 min from Barcelona)","Fast train ~8-16 EUR pp each way (book ahead)","Day 4 (Sat Aug 29) — moved from Sunday, and Saturday opens every door wider. 90-step Cathedral staircase (Game of Thrones). Widest Gothic nave in world. Best-preserved Jewish quarter in Europe. Painted Onyar houses + Eiffel bridge. City wall walk. Arab Baths (3 EUR). Cold brew at Espresso Mafia or the free Jardins dels Alemanys instead of the gelato. SATURDAY HOURS: Cathedral 10:00-18:30, Sant Feliu 10:00-20:00, both museums 10:00-19:00 in Jul-Aug — nothing shuts at 14:00, so the order is simply geographic, with the exposed walls last.","N/A","Excellent"
"Tarragona","Day Trip","Roman City","Tarragona (1 hr from Barcelona)","~9 EUR return train","2nd-century Roman amphitheatre steps from the sea. Les Ferreres Aqueduct (Roman multi-tiered). Roman Circus underground vaults. Cathedral built over a Roman temple.","N/A","Good"
"Nova Icaria Beach","Beach","Beach","Villa Olímpica Barcelona","Free","Calmer sheltered cove north of Barceloneta. Playgrounds nearby. Metro L4 Ciutadella-Vila Olímpica. Better for families than main Barceloneta beach.","N/A","Excellent"
"Bogatell Beach","Beach","Beach","Poblenou Barcelona","Free","Wider less crowded more local than Barceloneta. Metro L4 Poblenou + 15 min walk. Space + calm + local crowd.","N/A","Good"
"Mirador de Juan Sas","Hidden Gem","Viewpoint","Near Park Güell Carmel","Free","Sweeping city panorama including Sagrada Família and sea. 15-min walk from Park Güell upper entrance. Almost no signage = almost no tourists.","N/A","Yes"
"Hotel Colón Terrace","Hidden Gem","Rooftop Viewpoint","Av. de la Catedral 7 Gothic Quarter Barcelona","Free (drinks ~€8)","Enter Hotel Colón, take lift to rooftop terrace. Cathedral facade at eye level — the best photo angle of the Cathedral in the city. Low-moderate crowds.","N/A","Yes"
"Pont del Bisbe","Hidden Gem","Gothic Architecture","Carrer del Bisbe Gothic Quarter Barcelona","Free","Ornate neo-Gothic bridge (1928) over Carrer del Bisbe connecting two government palaces — one of the most photographed narrow lanes in Barcelona.","N/A","Yes"
"Palo Alto Creative Space","Hidden Gem","Creative Hub","Poblenou district Barcelona","Free most days (market entry varies)","Former industrial complex revitalised as creative hub. First weekend of month: artisan market. Former factory with bamboo, vines, garden paths. Best example of Poblenou's industrial revival.","N/A","Yes"
"Illa de la Discòrdia","Architecture","Modernist Block","Passeig de Gràcia 35–45 Eixample Barcelona","Free (exterior)","Three competing modernist houses on one block: Casa Lleó Morera (#35), Casa Amatller (#41), Casa Batlló (#43). Stand across the street and see all three at once — three different visions of the same commission from 1900.","N/A","Excellent"
"Mercat dels Encants","Market","Flea Market","Glòries roundabout Poblenou Barcelona","Free entry","Europe's largest open-air flea market under a spectacular mirrored stainless-steel canopy. Mon, Wed, Fri, Sat 09:00–20:00. The reflective canopy alone is worth seeing.","N/A","Good — treasure hunt for older kids"
"Mar Bella Beach","Beach","City Beach","Mar Bella Poblenou Barcelona","Free","Young, alternative beach in Poblenou — electric atmosphere, water sports, nudist section further along. Further north than Barceloneta but less crowded and more local.","N/A","Good — teens and active beach-goers"
"Cadaqués","Day Trip","Fishing Town","Cadaqués Costa Brava","~€30 return by bus (3.5 hrs from Barcelona Nord)","Isolated brilliant-white fishing town Dalí called home. Casa Anita for fresh fish (communal tables, no menus). Cap de Creus national park — easternmost point of Spain. Early start required.","N/A","Good — long but worth it"
"Santa Maria del Pi","Church","Gothic Basilica","Placa del Pi 7 El Gotic","8 EUR general incl. crypt + museum + set-time bell-tower ascents (2026 price)","14th-c Catalan Gothic with one of the world's largest rose windows on lovely Placa del Pi. Mon-Sat 10:00-20:00, Sun from ~13:00. Tower ascents at set times (11:00/12:30/...). Our slot: Day 4 Sat 11:00. Granja lane Carrer de Petritxol is next door.","https://basilicadelpi.cat/en/","Good"
"Temple del Sagrat Cor (Tibidabo)","Church","Mountain-top Basilica","Ctra. de Vallvidrera al Tibidabo 32 Tibidabo","Church free; lift to statue ~4 EUR","Neo-Gothic/Byzantine basilica crowning Tibidabo (512 m), Barcelona's highest point. Lift up the tower to the giant Sacred Heart statue for THE widest view of the whole city and sea. Beside the historic Tibidabo funfair. Tramvia Blau / funicular or bus up.","https://templotibidabo.salesians.cat/","Excellent — biggest view"
"Girona Cathedral","Day Trip — Church","Gothic Cathedral","Placa de la Catedral Girona","7.50 EUR adult incl. audio guide + Sant Feliu (under 16: 1.50 EUR; under 8 free) — 2026 price","Widest Gothic nave in the world (23 m). 90-step baroque staircase (Game of Thrones Great Sept). Tapestry of Creation in the treasury — do not skip. SATURDAY 10:00-18:30 (our Day 4 slot: 12:35). Combined ticket covers Sant Feliu too.","https://www.catedraldegirona.cat/","Excellent"
"Basilica de Sant Feliu (Girona)","Day Trip — Church","Romanesque-Gothic Church","Pujada de Sant Feliu 29 Girona","Included in the 7.50 EUR cathedral combined ticket","Girona's former cathedral, beside the main one — Romanesque columns, Gothic nave, Roman and early-Christian sarcophagi by the altar, tomb of Sant Narcis. SATURDAY (Jun 15-Sep 15) 10:00-20:00 — slot it after the cathedral (Day 4 ~13:25), or come back after lunch: the one interior with no deadline.","https://www.catedraldegirona.cat/","Good"
"Monestir de Sant Pere de Galligants (Girona)","Day Trip — Monastery","Romanesque Monastery","Placa de Santa Llucia 1 Girona","~6 EUR","12th-c Benedictine Romanesque monastery, now the Catalonia Archaeology Museum (Girona) — serene cloister with carved capitals by the Galligants stream. Jul-Aug Tue-Sat 10:00-19:00 (it is Sunday that closes at 14:00). Braavos filming location. Day trip from Barcelona.","https://www.macgirona.cat/","Good"
"Pont de les Peixateries Velles (Eiffel Bridge, Girona)","Day Trip — Landmark","Iron Footbridge","Pont de les Peixateries Velles Girona","Free","Red iron footbridge over the Onyar built 1877 by Gustave Eiffel's workshop — 12 years before the Eiffel Tower. Best view of the painted Onyar river houses from mid-span. Go early morning: empty and best light. First stop off the train.","N/A","Excellent"
"Onyar River Houses (Girona)","Day Trip — Landmark","Painted Facades","Riu Onyar Girona","Free","The postcard of Girona — ochre, rust and mustard houses stacked straight over the water. Shoot from the Eiffel bridge and from Pont de Sant Agusti. Free, always open.","N/A","Excellent"
"Jardins de la Francesa (Girona)","Day Trip — Garden","Public Garden","Jardins de la Francesa Girona","Free","The French garden behind the cathedral apse, between the building and the city walls. Cypresses, ivy, deep shade — the coolest spot in town at midday. Game of Thrones Braavos street scenes filmed here. Free.","N/A","Excellent"
"Escales de Sant Marti (Pujada de Sant Domenec, Girona)","Day Trip — Landmark","Baroque Staircase","Pujada de Sant Domenec Girona","Free","The broad baroque staircase up to Sant Marti Sacosta church. Arya's chase through Braavos (Game of Thrones S6) was filmed on these steps. Two minutes from the Call. Photograph from the bottom looking up. Free, always open.","N/A","Excellent"
"The Call — Jewish Quarter (Girona)","Day Trip — Historic Quarter","Medieval Quarter","Carrer de la Forca Girona","Free to wander; museum ~4 EUR","One of the best-preserved medieval Jewish quarters in Europe — shoulder-wide stone lanes, tunnels, stairs. Bonastruc ca Porta / Museu d'Historia dels Jueus inside has the 12th-c mikvah. MUSEUM LAST ENTRY ~13:30 ON SUNDAYS.","https://www.girona.cat/call/","Good"
"Passeig de la Muralla (Girona city walls)","Day Trip — Viewpoint","Medieval Walls","Passeig de la Muralla Girona","Free","1–1.5 km walk along the medieval ramparts with climbable towers, over terracotta rooftops to the Pyrenees foothills. Fully exposed stone, no shade, no water up there — bring a bottle and go late afternoon, not midday.","N/A","Good"
"Banys Àrabs (Girona)","Day Trip — Hidden Gem","Romanesque Bath-house","Carrer Ferran el Catolic s/n Girona","3 EUR (under 8 free, students 1 EUR, 65+ 2 EUR)","12th-c Romanesque bath-house built on the Roman model: frigidarium under an eight-column lantern dome, then tepidarium and caldarium. The coolest interior in Girona and the best 3 EUR in town — 25 min. Two doors from Sant Pere de Galligants, so it slots into the monastery / Jardins de la Francesa loop. Mon-Sat 10:00-18:00, Sun 10:00-14:00. Tel 972 19 09 69. Added Sat Aug 29 as a spare-afternoon pick.","https://www.banysarabs.cat/en/","Excellent"
"Museu del Cinema (Girona)","Day Trip — Museum","Pre-cinema Museum","Carrer de la Sequia 1 Girona","7 EUR (under 14 free; reduced 3.50 EUR)","Air-conditioned hands-on collection of pre-cinema devices — magic lanterns, shadow theatre, zoetropes, optical toys — from the Tomas Mallol collection. THE HEAT ESCAPE on a 32C afternoon, and 5 min from Girona station, so it also works as the last stop before the train. August hours Mon-Sat 10:00-19:00, Sun 10:00-14:00.","https://www.museudelcinema.cat/","Excellent — best indoor option for kids and teens"
"Passeig Arqueologic (Girona)","Day Trip — Walk","Shaded Walled Walk","Passeig Arqueologic Girona","Free","The shaded counterpart to the Passeig de la Muralla: cypress-lined ramps and stairs along the northern walls behind the cathedral apse, up to the Torre Gironella. Links the Arab Baths to Jardins de la Francesa. Take this instead of the exposed southern ramparts in peak heat. Free, always open.","N/A","Excellent"
"Parc de la Devesa (Girona)","Day Trip — Park","Urban Park","Parc de la Devesa Girona","Free","40 ha of 50-metre plane trees — the largest urban park in Catalonia and the deepest shade in Girona. Sits between the old town and the station: the natural place to spend the last 20 minutes before the train instead of on the platform.","N/A","Excellent"
"Casa Maso (Girona)","Day Trip — House Museum","Modernista House","Carrer de les Ballesteries 29 Girona","10 EUR (reduced 5 EUR)","The only one of the painted Onyar houses open to the public — architect Rafael Maso's family home, with balconies straight over the water. GUIDED VISIT ONLY, 50 min, max 8 people, Tue-Sat, ADVANCE BOOKING REQUIRED by phone or email: 972 41 39 89. Not a walk-up sight — call ahead or leave it for next time.","https://rafaelmaso.girona.cat/eng/casa.php","Good — better for adults"
"Font de Carmen Amaya","Hidden Gem","Fountain / Monument","Plaça de Brugada 08003 Barcelona (Barceloneta)","Free","Tiled fountain honouring Carmen Amaya the greatest bailaora of the 20th century — born 1913 in the Somorrostro shanty-town that stood on this beach. A block back from the sand. Free 2-minute detour on the Day 4 Barceloneta walk and the reason Barcelona has a genuine flamenco claim at all.","N/A","Good"
"Platja de Sant Sebastià (Sitges)","Day Trip","Beach","Passeig de Sant Sebastià 08870 Sitges","Free","The best-water-quality beach on the Sitges day-trip option — clear, sheltered and prettier than any city beach. Sitges is ~40 min by train from Passeig de Gràcia; not on this trip's itinerary — kept for reference as a beach-town alternative to a Barcelona beach day.","N/A","Excellent"
