Name,Category,Type,Address,Cost Range,Tips,Website,Family
Praca do Comercio,Main Attraction,Square / Waterfront,"Praca do Comercio 1100 Lisboa",Free (Arco da Rua Augusta ~3-4 EUR),"One of Europes largest squares stretching along the Tagus. The Arco da Rua Augusta offers panoramic views. Best at sunset (~20:20 during our stay) — Day 1 evening is timed to it.",N/A,Excellent — free flat easy to walk
Rossio Square,Main Attraction,Historic Square,"Praca Dom Pedro IV 1100 Lisboa",Free,"Historic heart of Baixa. Distinctive wave-patterned black-and-white cobblestone pavement. Baroque fountains neoclassical theatre. Stop for ginjinha (1.50 EUR) at the traditional bars on the edge. Pickpocket-aware here.",N/A,Excellent — free central lively
Parque das Nacoes,Main Attraction,Modern District,"Oriente metro station 1990 Lisboa",Free to enter individual attractions vary,"Modern district built for Expo 98. Santiago Calatravas Oriente station Alvaro Sizas Portugal Pavilion cable car over the Tagus. Our Day 4 midday zone — Oriente is 3 Metro stops from the airport, which the departure plan exploits.",https://www.portaldasnacoes.pt/en/,Excellent for families
Elevador de Santa Justa,Main Attraction,Historic Lift / Viewpoint,"Rua do Ouro 1150-060 Lisboa","Closed for maintenance (2026)","CLOSED for maintenance as of 2026 — do not queue or pay. Neo-Gothic cast-iron lift (1902) connecting Baixa to Chiado. Best free view of the ironwork and deck is from the Largo do Carmo side (Day 4 morning).",https://www.carris.pt/en/elevadores/,N/A while closed — view from Carmo side
Museu Calouste Gulbenkian,Main Attraction,Fine Art Museum,"Av de Berna 45A 1067-001 Lisboa",14 EUR free Sun after 2pm under 18 free,"Finest private art collection assembled by one person — 6000 pieces: Egyptian Islamic Rembrandt Rubens Turner Lalique and Impressionists. Wed-Mon 10:00-18:00 closed Tue. Carried a temporarily-closed flag in mid-2026 — verify if visiting. Free garden retreat from city heat. Not in this trips plan.",https://gulbenkian.pt/museu/en/,Good for ages 10+
Museu Nacional de Arte Antiga,Main Attraction,Fine Art Museum,"Rua das Janelas Verdes 1249-017 Lisboa",Free,"Portugals most important art museum. The Polyptych of St Vincent by Nuno Goncalves (~1470) is a defining work of Portuguese art. Garden terrace has some of the best Tagus views in Lisbon. Tue 2pm-6pm is quietest. Closed Mon.",http://www.museudearteantiga.pt/english,Good for ages 10+
Museu do Fado,Main Attraction,Music Museum,"Largo do Chafariz de Dentro 1 1100-139 Lisboa (Alfama)","5 EUR adult, under 12 free","Richly designed museum dedicated to Fado. Audio stations legendary recordings instrument exhibits. Put on headphones and listen to Amalia Rodrigues in full. Our Day 3 Option B (air-conditioned) — the primer for that nights fado dinner at Parreirinha. Tue-Sun 10:00-18:00 closed Mon.",https://www.museudofado.pt/en/,Good for ages 8+
Pavilhao do Conhecimento,Main Attraction,Science Museum,"Parque das Nacoes 1990 Lisboa",15 EUR adult 9 EUR child,"Exceptional hands-on science museum in Parque das Nacoes. Curious kids 5-14 can spend hours here. Only fits our Day 4 if the Oceanario slot grows into a full half-day — unlikely on departure day.",N/A,Outstanding for kids
Miradouro da Senhora do Monte,Hidden Viewpoint,Viewpoint,"Rua da Senhora do Monte Graca 1170 Lisboa",Free,"The highest miradouro in Lisbon with almost 360 degree panorama. Somehow less crowded than Graca or Santa Luzia despite best overall view. Sunday afternoons locals bring wine and guitars. Our Day 3 no-fado sunset alternative (~20:19).",N/A,Good
Miradouro da Graca,Viewpoint,Viewpoint,"Calcada da Graca Graca 1170 Lisboa",Free,"Wide 160 degree panorama shaded by stone pines. Esplanada da Graca kiosk serves cold beers since 1992. Castle silhouette at dusk is spectacular.",N/A,Good
Miradouro de Santa Luzia,Viewpoint,Viewpoint,"Largo de Santa Luzia Alfama 1100 Lisboa",Free,"Terrace behind the Igreja de Santa Luzia draped in roses under grapevine pergolas. Two large azulejo tile panels depict pre-1755 Lisbon. More intimate than Portas do Sol. On our Day 3 route ~10:45.",N/A,Good
Miradouro das Portas do Sol,Viewpoint,Viewpoint,"Largo das Portas do Sol Alfama 1100 Lisboa",Free,"Sweeping view over Alfama rooftops to Tagus and National Pantheon. One of Lisbons most photographed spots. Go before the cruise-ship crowds — Day 3 hits it right after the castle.",N/A,Good
Miradouro de Sao Pedro de Alcantara,Viewpoint,Viewpoint,"Rua de Sao Pedro de Alcantara Bairro Alto 1200 Lisboa",Free,"Large terraced garden in Bairro Alto. Faces east across Baixa to the castle. Night view when castle is lit is stunning — our Day 1 nightcap. Gloria funicular alongside is closed; walk up (5 min steep).",N/A,Good
Miradouro de Santa Catarina Adamastor,Viewpoint,Viewpoint,"Rua de Santa Catarina Bica/Chiado 1200 Lisboa",Free,"Bohemian terrace with stone Adamastor monster sculpture. Popular with students and musicians. Faces west for best 25 de Abril bridge sunset light.",N/A,Good
Jardim do Torel,Hidden Garden / Viewpoint,Garden + Viewpoint,"Rua Julio de Andrade 1150-122 Lisboa",Free,"A hilltop garden that feels like an oasis — unknown even to many Lisboetas. High above Avenida da Liberdade with sweeping views south to the Tagus. Kiosk cafe in the shade. 15 min from our apartment.",N/A,Excellent — quiet and beautiful
Tapada das Necessidades,Hidden Garden,Royal Park,"Largo das Necessidades 1350 Lisboa",Free,"Former royal garden — 10 hectares one of the largest green spaces in central Lisbon yet almost entirely tourist-free. Three ornamental lakes Europes oldest cactus collection peacocks and exotic trees.",N/A,Excellent
Estufa Fria,Hidden Garden,Botanical Garden,"Parque Eduardo VII Av Alvares Cabral 1070 Lisboa",Small fee free Sun until 14:00,"Tucked into Parque Eduardo VII — 300+ plant species beneath a slatted-wood canopy. Small waterfalls hidden caves koi ponds in three interconnected glasshouses. Free Sundays until 14:00.",N/A,Excellent — the enclosed glasshouses with waterfalls delight kids
Casa do Alentejo,Hidden Gem,Moorish Palace,"Rua das Portas de Santo Antao 58 1150-268 Lisboa",Free to explore,"Behind an unmarked door near Rossio hides a 17th-century palace with a jaw-dropping Moorish courtyard azulejo-lined walls and ornate wooden ceilings. Walk past the restaurant into the side rooms stairwells and courtyard — free to explore.",N/A,Good — the surprise factor is the draw
Museu Bordalo Pinheiro Garden,Hidden Gem,Museum / Garden,"Campo Grande 382 1700-097 Lisboa",Garden free; museum has entry fee,"Dedicated to Portugals great satirical ceramicist. The adjoining garden has giant porcelain frogs crabs lobsters and snakes lurking among trees. Garden is free — no ticket needed. Walk it first then tour the museum.",https://museubordalopinheiro.pt/en/,Excellent — the giant ceramic creatures are hilarious and memorable for kids
Hospital de Bonecas,Hidden Gem,Quirky Museum / Shop,"Praca da Figueira 7 1100-241 Lisboa",Small fee,"Operating since 1830 from its original townhouse. One of the worlds oldest doll repair shops — part curiosity cabinet part museum with 3500+ dolls. Ask to see the repair workshop. Kids love it or find it unsettling.",https://www.hospitaldebonecas.com,Excellent for kids — genuinely unique
Museu do Oriente,Hidden Gem,Under-Visited Museum,"Av Brasilia Doca de Alcantara Norte 1350-302 Lisboa",Varies — free Friday evenings after 18:00,"Under-visited powerhouse in an Alcantara waterfront warehouse. Portugals connections to Asia from the Age of Discovery. Gods of Asia floor from the Kwok On collection is extraordinary. Free Friday evenings.",https://www.museudooriente.pt,Good for ages 10+
Museu da Agua Reservatorio Mae d Agua das Amoreiras,Hidden Gem,Underground Cistern,"Praca das Amoreiras 10 1250-020 Lisboa",Varies (immersive exhibitions),"Cavernous underground cistern (1746) holding 5500 cubic metres of water beneath soaring vaulted arches. Currently hosts immersive art projections. Acoustics and scale are remarkable. Panoramic terrace above for rooftop views.",https://www.museuagua.pt,Good for ages 8+
Mouraria — Rua do Capelao Tile Murals,Hidden Gem,Street Art / Cultural,"Rua do Capelao Mouraria Lisboa",Free,"True heart of Mouraria and birthplace of Fado. Rua do Capelao is covered in tile artwork honouring local fado singers. Beco das Farinhas has striking photographic portraits of elderly residents. Wander without a map.",N/A,Good
Largo do Intendente,Hidden Gem,Neighbourhood Square,"Largo do Intendente Pina Manique 1100-285 Lisboa",Free,"Creative heart of Mourarias north side — azulejo-clad square multicultural hub of artists freelancers and local families. Great for an authentic warm evening in a square that feels nothing like a tourist bar. 10 min from our apartment.",N/A,Good
Prazeres Cemetery,Cultural Site,Victorian Cemetery,"Estrada de Sao Domingos de Benfica 1350-297 Lisboa",Free,"Lisbons grand Victorian necropolis (1833). 12 hectares with 82 numbered streets of extraordinary funerary architecture azulejo tombs Gothic chapels. Views over the Tagus and 25 de Abril bridge. Day 3 Option A finale via tram 28/25. Daily ~09:00-18:00.",N/A,Good for those who love church and cemetery architecture — the Gothic Revival chapels are outstanding
Feira da Ladra,Market,Flea Market,"Campo de Santa Clara Graca Lisboa (Tue and Sat mornings)",Free to browse,"Lisbons famous outdoor flea market — Tuesdays and Saturdays only, and our Day 3 is a Tuesday, right beside Sao Vicente. Mix of genuine antiques old azulejo tiles vintage goods. Great for vintage tile souvenirs. Bags zipped.",N/A,Good
Alfama District,Neighbourhood,Historic District,"Centred on Largo do Chafariz de Dentro 1100 Lisboa",Free,"Lisbons oldest district — Moorish labyrinth of whitewashed houses steep cobbled alleys and laundry-draped windows. Birthplace of Fado. Day 3 walks it top-to-bottom (castle to Se). Wander before 10am for a completely different experience from the tourist-crowded midday.",N/A,Good — cobblestones challenging for very young children; magical for all ages
Mouraria,Neighbourhood,Historic District,"Centred on Largo do Intendente Lisboa",Free,"Lisbons most multicultural quarter. True birthplace of Fado. More authentic and less polished than Alfama. Cheaper and more diverse food scene.",N/A,Good
Principe Real,Neighbourhood,Upmarket Residential,"Rua Dom Pedro V 1250 Lisboa",Free to wander,"Lisbons most refined neighbourhood. Wide tree-lined boulevards antique shops concept stores Saturday farmers and antique market in the central garden. Day 4 fallback morning option.",N/A,Good
LX Factory area / Alcantara,Neighbourhood,Industrial-Creative District,"Rua Rodrigues de Faria 103 1300 Lisboa",Free to wander,"Former 19th-century industrial complex under the 25 de Abril bridge. Sunday Feira da LX market (noon-7pm). Artisani gelato branch at nearby Doca de Santo Amaro.",N/A,Excellent on Sundays for the market
Marvila Creative District,Neighbourhood,Emerging Creative Hub,"Praca David Leandro da Silva 8 1950 Lisboa",Free to wander,"Lisbons Brooklyn. Former wine warehouses now hosting craft breweries street art galleries design studios. 8 Marvila (2024) is a 22000 sqm covered creative village. Still largely a local secret.",N/A,Good on weekends
Belem,Neighbourhood,Historic Monumental District,"Praca do Imperio 1400 Lisboa",Free to walk — individual monuments vary,"Grand wide-boulevarded district 6km west of centre. Portugals greatest Age of Discovery monuments. More spacious than central Lisbon. Our Day 1 stage — flat, easy, everything within 10 min on foot.",N/A,Excellent — most family-friendly major neighbourhood in Lisbon
Tram 28E,Transport / Experience,Historic Tram,"Prazeres to Martim Moniz",3.20 EUR single on board (1.90 with Viva card),"Iconic vintage yellow tram 38 stops through Alfama Chiado and Estrela. Heavily targeted by pickpockets 9am-6pm in August. Board at Prazeres quiet western end to avoid queuing. Early morning or after 6pm to avoid worst crowds — or walk the Alfama stretch as Day 3 does.",N/A,Good once seated
Tram 24,Transport / Experience,Historic Tram,"Praca Luis de Camoes to Campolide",3.20 EUR single on board (1.90 with Viva card),"Quiet route using historic yellow trams through Chiado and Principe Real. Far less crowded than Tram 28 but equally photogenic. Locally recommended as the better alternative.",N/A,Excellent — more relaxed than Tram 28
Sintra — Pena Palace,Day Trip,Palace,"Estrada da Pena 2710-609 Sintra","20 EUR adult (Essential Visit); reduced youth band — check at purchase","BOOKED & paid — Essential Visit, 20 EUR adult, 09:00 palace slot for Mon Aug 24. The 09:00 is the PALACE door, 15-25 min uphill from the park gate — taxi/Bolt up from Sintra station (~10-15 EUR total), the first 434 bus is too late. Enter within ~30 min of slot or forfeit.",https://www.parquesdesintra.pt,Outstanding for all ages — book ahead essential
Sintra — Quinta da Regaleira,Day Trip,Palace + Gardens,"Rua Barbosa du Bocage 5 2710-567 Sintra","20 EUR adult, 15 EUR youth 6-17, free under 6, family 2+2 pack 60 EUR (2026 prices)","BOOKED & PAID - Mon Aug 24, entry window 14:30-15:00, MEO Blueticket 38339594, 80.54 EUR for our four (Emily at 18 pays adult). Download the ticket PDFs; the email is not a ticket. Eccentric neo-Manueline estate (1910): the Initiation Well, a 27-metre spiral staircase into underground tunnels. Bring a small torch.",N/A,Outstanding — the underground tunnels are extraordinary for families
Sintra — National Palace of Sintra,Day Trip,Royal Palace,"Largo Rainha Dona Amelia 2710-616 Sintra","15 EUR adult, under 14 free","Only palace in the actual village centre. Two enormous cone-shaped chimneys are Sintra's defining symbol. Sala dos Brasoes (Hall of Crests) and Sala dos Cisnes (Swan Hall) are highlights. Walk-in. Not in our day plan — the chimneys get admired from the lunch table.",N/A,Good
Sintra — Moorish Castle,Day Trip,Moorish Fortress,"2710 Sintra","12 EUR adult, reduced youth band; on-site ticket booth CLOSED — buy at Pena's ticket office","8th-9th century Moorish hilltop fortification 10 min from Pena's gate. Dramatic ramparts and towers. Views over Sintra and the Atlantic from battlements. The shaded forest path down to the village (~25 min) is the day's best walk.",N/A,Good — physically demanding but rewarding for kids who like climbing
Sintra — Monserrate Palace,Day Trip,Romantic Palace,"Estrada de Monserrate 2710-405 Sintra","12 EUR adult, under 14 free","Romantic neo-Gothic/Moorish/Hindu fusion palace (1858) in beautiful botanical gardens. Less visited than Pena — good choice to avoid peak crowds. Filed for a future quieter visit.",N/A,Good
Cascais,Day Trip,Coastal Town,"Cascais 2750 Portugal","Train from Cais do Sodre 2.30 EUR per person each way; bus 1624 from Cabo da Roca 2.60 EUR","Elegant coastal resort 33km west of Lisbon. Flat walkable beaches marina historic centre fish restaurants. Boca do Inferno natural rock arch is a short walk from town. NOT on this trip - the Day 2 coastal leg was cut to keep Sintra a single relaxed day. Kept as reference for a future visit.",N/A,Excellent — flat easy stress-free
Arrabida Natural Park,Day Trip,Natural Park + Beach,"Setubal Peninsula Portugal",Guided tour 50-70 EUR per person or car hire + shuttle,"Turquoise coves and pine-covered limestone hills 45km south of Lisbon. Best water clarity near Lisbon. Summer car ban in effect Jun 15-Sep 15. Praia dos Galapinhos is calm shallow and safe for young children. Guided tour handles logistics. Future-trip file.",N/A,Outstanding for families with young children — calm shallow water
Obidos,Day Trip,Medieval Walled Town,"Obidos 2510 Portugal",Bus 7 EUR per person town entry free,"Perfectly preserved medieval walled town 80km north of Lisbon. Fairytale feel reads as genuinely magical to children. Note: wall parapets have NO guardrails — supervise young children carefully. Try ginjinha in a chocolate cup. Future-trip file.",N/A,Great fairy-tale feel — supervise closely on walls
Sesimbra,Day Trip,Fishing Village + Beach,"Sesimbra 2970 Portugal",Bus 4 EUR per person,"Picturesque fishing village with sheltered calm beach in a natural bay. Considerably less crowded than Cascais. Excellent grilled fish. Moorish castle above the village. Future-trip file.",N/A,Excellent — calm sheltered shallow bay perfect for young children
Igreja de Sao Roque,Hidden Gem,Church,"Largo Trindade Coelho 1200-470 Lisboa (Bairro Alto)","Church free; museum 2.50 EUR","Plain 16th-century Jesuit facade hides one of Europe's most jaw-dropping interiors — eight gilded chapels culminating in the Chapel of St John the Baptist. Built in Rome shipped to Lisbon in pieces in 1742 — the most expensive 18th-century commission in Europe. Ceiling is flat-painted trompe l oeil. Closed Mondays — our Day 3 (Tuesday) Option A anchor.",https://museusaoroque.scml.pt/en/,Excellent for all ages — the surprise factor is extraordinary
Livraria Bertrand,Hidden Gem,Bookshop,"Rua Garrett 73-75 1200-203 Lisboa (Chiado)",Free to browse,"The oldest operating bookshop in the world (1732 Guinness certified). Labyrinth of interconnected rooms in Chiado. Poets and writers who visited include Camoes Eca de Queiros and Fernando Pessoa. Buy any book and ask for the oldest-bookshop stamp on the flyleaf.",N/A,Good for book-loving families
Museu Nacional dos Coches (Coach Museum),Hidden Gem,World-Class Museum,"Av da India 136 1300-300 Lisboa (Belem)","~15 EUR adult; reductions at the till","One of the world finest collections of historical royal carriages — 70+ coaches from the 17th-19th centuries. The gilded Baroque excess rivals Versailles. Pritzker Prize building. Right in the Belem cluster — our Day 1 wet-weather fallback. Closed Mon. Allow 45-60 min.",https://www.museudoscoches.pt/en/,Good — the gilded carriages are visually stunning for all ages
Cervejaria Trindade,Hidden Gem,Historic Beer Hall,"Rua Nova da Trindade 20C 1200-303 Lisboa (Chiado)",10-20 EUR per person,"Portugal's oldest beer hall (1836) occupying the vaulted refectory of the 13th-century Convento da Trindade. Extraordinary azulejo panels (Science Agriculture Industry Commerce) line the soaring walls. Order a cold Sagres in the Gothic-vaulted hall and look at the tile art.",https://www.cervejariaatrindade.pt/en/,Good — the architectural contrast of Gothic monastic architecture and lively brasserie is extraordinary
Cacilhas Ferry and Ponto Final,Hidden Gem,River Crossing + Restaurant,"Ferry: Estacao Fluvial do Cais do Sodre. Restaurant: Rua do Ginjal 72 Cacilhas",Ferry ~1.35 EUR each way,"Best Lisbon skyline view in the city — the 10-min Cacilhas ferry at sunset gives you the definitive panorama that no viewpoint on the city side can match. Ponto Final restaurant has tables at the river's edge. Book a riverside table. Filed for a return trip — no evening slot fits this stay.",N/A,Excellent — the sunset ferry crossing is unforgettable
Palacio Fronteira (Fronteira Palace),Hidden Gem,Azulejo Garden,"Largo de Sao Domingos de Benfica 1 1500-554 Lisboa",Varies (guided tour required),"17th-century palace with the finest original azulejo tile garden in Portugal. Tiles depicting Restoration War battles reflected in a rectangular tank. Still privately owned by the Marquis of Fronteira family. Guided tours Tue-Sat mornings (10:30 11:00 11:30) — reserve. Future-trip file.",https://fronteira-alorna.pt/en/,Good for ages 8+ who appreciate history and art
Amoreiras 360,Viewpoint,Modern Rooftop Viewpoint,"Amoreiras Shopping Center tower Av Eng Duarte Pacheco 1070 Lisboa",Varies (approx 5-10 EUR),"Modern 360 degree rooftop platform on Amoreiras shopping towers — a different perspective from Lisbons historic hilltop miradouros. Glass barriers calm atmosphere telescope viewing stations. Less crowded than the famous viewpoints. Good combined with the Museu da Agua Reservatorio in the same area.",N/A,Good
Sintra — Convent of the Capuchos,Day Trip,Hidden Hermitage,"2710 Sintra (4km from village — requires taxi)","7 EUR adult, free under 12, approx 22 EUR for family of 4","The most eerie and extraordinary hidden place in Sintra. Tiny 16th-century Franciscan hermitage where 12 monks lined every room doorway and corridor with cork for insulation. Doorways built small so monks had to bow. Byron called it the most beautiful desolation. Almost always empty even in August — needs a taxi. Future-trip file.",N/A,Outstanding — the cork cells and forest setting are unlike anything else in Portugal
Cabo da Roca,Day Trip,Natural Viewpoint / Cape,"Cabo da Roca 2705-001 Colares Portugal","Bus 1624 (ex-403) 2.60 EUR per person on board; optional certificate 11 EUR","The westernmost point of continental Europe — dramatic 140m cliffs plunging into the Atlantic with a lighthouse and a stone marker bearing Camoes words where land ends and sea begins. Our Day 2 late-afternoon stop via bus 1624 from Sintra (roughly hourly — check the Carris Metropolitana app). Windy and cold even in August — bring layers.",N/A,Excellent — the sense of standing at the edge of Europe is genuinely powerful
"Sao Vicente de Fora","Church / Monastery","Monastery","Largo de Sao Vicente Alfama 1100-572 Lisboa","8 EUR adult, 4 EUR under 25, under 12 free","BOOKED — ref 980497008 (2 adult, 2 youth) for our Day 3. Open DAILY 10:00-19:00 summer, last admission 18:00. Vast white monastery (1582). Walls lined floor-to-ceiling with azulejo panels incl. the fables set. Royal Pantheon of the Braganca dynasty. Rooftop terrace over Alfama. Feira da Ladra flea market outside Tue and Sat.","https://mosteirodesaovicentedefora.com/en/","Excellent — tiles tombs and rooftop"
"Panteao Nacional (Santa Engracia)","Church / Monument","National Pantheon","Campo de Santa Clara Alfama 1100-471 Lisboa","10 EUR adult (2026 price), 5 EUR youth 13-24, under 12 free; ask about the 50% family rate","Great baroque dome begun 1682 — finished 1966, hence the phrase obras de Santa Engracia for a never-ending job. Tombs and cenotaphs of Portuguese greats including fado legend Amalia Rodrigues. Climb to the dome terrace for a 360 view. Tue-Sun 10:00-18:00 (last 17:40), closed Mondays. Day 3 stop at 12:30.","https://www.panteaonacional.gov.pt/en/","Good — dome climb"
MUDE,Museum,Design & Fashion Museum,"R. Augusta 24, 1100 Lisboa","€11 (free Fri after 5pm; free Sun 10:00-14:00)","Reopened 2024 in a handsome Rua Augusta building. 2,500+ pieces spanning furniture, industrial design, and fashion from 1930s-today. Visit Sunday 10am-2pm for free entry and quietest crowds.",https://www.visitlisboa.com/en/places/mude-museu-do-design,Good — better for older kids/teens with design interest
Time Out Market,Food Market,Market Hall,"Av. 24 de Julho 49, 1200-479 Lisboa (Cais do Sodre)","Free entry; food ~€10-20/person","Vast renovated 19th-century iron market hall housing 26 restaurants curated from Lisbon's top chefs. Our Day 1 dinner. Sun-Wed 10:00-24:00, Thu-Sat 10:00-02:00. Must-orders: grilled octopus, bifanas, pasteis de nata, green wine.",https://www.timeout.com/time-out-market-lisboa,Excellent — everyone picks their own dish
Elevador da Bica,Landmark / Funicular,Funicular,"Rua de Sao Paulo / Rua do Loreto, Lisboa","Suspended (Aug 2026)","Most photogenic funicular, running down narrow Rua da Bica with framed Tagus views. Suspended since the Sep 2025 Gloria accident — still not running as of Aug 2026. The street itself is still the photo: walk it.",https://www.carris.pt/en/elevadores/,N/A — closed
Elevador do Lavra,Landmark / Funicular,Funicular,"Largo da Anunciada / Rua Camara Pestana, Lisboa","Suspended (Aug 2026)","Lisbon's oldest funicular (1884), steepest at 23% incline, and least-known. Suspended since Sep 2025; still not running as of Aug 2026. Jardim do Torel above is reachable on foot.",https://www.carris.pt/en/elevadores/,N/A — closed
Elevador da Gloria,Landmark / Funicular,Funicular,"Praca dos Restauradores / Bairro Alto, Lisboa","Closed — being rebuilt","Most famous funicular, connecting Restauradores to Sao Pedro de Alcantara viewpoint. Closed since the fatal derailment of 3 Sep 2025 and now being rebuilt. Walk the steep parallel street on foot instead — still worth it for the viewpoint.",https://www.carris.pt/en/elevadores/,N/A — closed
Setubal,Day Trip,Port City,"Setubal, Portugal","~€20-30 (transport)","Port city and base for Arrabida. Good fish market, Museu de Arqueologia e Etnografia (Azulejo Museum), and the Convento de Jesus (first Manueline building in Portugal). Mainly useful as an Arrabida gateway.",N/A,Fine as a brief stop en route to Arrabida
Evora,Day Trip,UNESCO City,"Evora, Portugal","~€60-80 (transport + entries)","UNESCO-listed city in the Alentejo, 130km from Lisbon. Roman temple, medieval cathedral, medieval walls, and the Chapel of Bones. Best deferred to a separate visit — 3-hour round-trip transit and 35C+ August heat makes this a grind with young children.",N/A,Better suited to older kids/adults given heat and distance
"Sintra — Palacio Biester","Day Trip","Romantic Villa","Sintra, Portugal","~12 EUR; not currently in the day plan","Late-19th-century romantic villa by architect Jose Luiz Monteiro with an English-style botanical park. Off the main Pena/Regaleira circuit and much less crowded. A quieter alternative worth knowing for a return trip, not an addition to an already-full Sintra day.","N/A","Good for ages 8+ who appreciate quieter, less-crowded architecture"
