Name,Category,Type,Address,Cost Range,Tips,Website
Basilica de Santa Maria del Mar,Sight,Gothic Basilica,"Plaça de Santa Maria 1, 08003 Barcelona","5 EUR cultural visit; 10 EUR with rooftop and towers","13:15, ~40 min. Mon-Sat 10:00-18:00. THE SINGLE BEST THING OPTION B BUYS BACK. Built 1329-1383 - fifty-four years, one architect, one style - which is why it is the purest Catalan Gothic interior anywhere: three naves of near-equal height and octagonal columns set 13 m apart, the widest span of any medieval church in Europe. Funded and physically built by the parish; the bastaixos (port stevedores) carried the stone down from Montjuic on their backs and are carved into the bronze doors. Free during worship hours, but no rooftop and no explanation - the 5 EUR is the right 5 EUR.",https://www.santamariadelmarbarcelona.org
Bar del Pla,Lunch,Catalan Tapas Bar,"C/ de la Montcada 2, 08003 Barcelona","20-28 EUR/person","14:00 - THE LUNCH PICK. Vaulted-brick tapas bar with a local crowd, two streets from the Picasso queue. Croquetes de pernil, patatas bravas, a glass of the house red. Mon-Thu 12:00-23:00, Fri-Sat to 24:00. Walk-in - arrive by 13:45 for the vault tables.",N/A
Cal Pep,Lunch,Seafood Tapas Counter,"Plaça de les Olles 8, 08003 Barcelona","30-40 EUR/person","THE SPLURGE ALTERNATIVE to Bar del Pla. No menu, no choosing - you sit at the counter and Pep's team feeds you whatever the market gave them. FRIDAY 13:00-15:45 (closed Sundays). Queue from ~12:45; BAR ONLY, never the back room. WARNING: some years it shuts for three weeks in late August - call +34 933 10 79 61 the morning of.",N/A
El Xampanyet,Lunch,Cava Bodega,"C/ de la Montcada 22, 08003 Barcelona","15-25 EUR/person","Lunch candidate, Tue-Sat 12:00-16:00. The 1929 cava-and-anchovies bodega - barrels, azulejo walls, joyful crush. Cantabrian anchovies and house xampanyet by the glass. WARNING: August break, reportedly back ~Aug 24-25 - confirm at the window before you queue. Standing only; don't wait for a stool. Directly opposite the Picasso Museum.",N/A
Bar La Plata,Lunch,Standing Tapas Bar,"C/ de la Merce 28, 08002 Barcelona","3.50-7 EUR per tapa","THE GOTHIC-QUARTER ALTERNATIVE, a 6-min detour south. Open 1945, still serving the same four tapas: anchovies, pescaito frito, botifarra, tomato salad - wine poured from three barrels into small glasses. Standing, spilling onto the pavement, almost entirely locals. Mon-Sat 11:30-15:00, CLOSED SUNDAYS. CASH.",N/A
Museu Picasso,Sight,Art Museum,"C/ de Montcada 15-23, 08003 Barcelona","14 EUR online / 15 EUR door; 18-25: 7.50 EUR; under 18 free = 35.50 EUR for four","15:30, ~1.5 hrs. BOOK A TIMED SLOT ONLINE - August afternoons sell out. FRIDAY 09:00-21:00 in summer, so nothing races you; air-conditioned, and the right place to be at the hottest hour. NOT the greatest hits - this is the Barcelona formation. The revelation is Ciencia i caritat, painted at FIFTEEN, hanging rooms away from the Blue Period portraits he made after Casagemas shot himself. Then the 58-canvas Les Menines series of 1957, a 75-year-old taking Velazquez apart frame by frame.",https://museupicassobcn.cat/en/
El Born Centre de Cultura i Memoria,Sight,Archaeological Site,"Plaça Comercial 12, 08003 Barcelona","Site free; exhibitions ~7 EUR","17:00 - an entire 1700s neighbourhood, streets and drains and doorsteps, found intact under the floor of an iron market hall when they started digging for a library. Philip V razed it in 1714 to build the Ciutadella fortress; it lay under rubble for 300 years. You walk the gantry above it.",N/A
Mercat de Santa Caterina,Sight,Market,"Av. de Francesc Cambo 16, 08003 Barcelona",Free entry,"17:00 alternative - where the neighbourhood actually shops, under Miralles's undulating ceramic wave roof (2005) in 325,000 coloured tiles. LOOK UP: the roof is the sight. Far fewer tourists than the Boqueria.",N/A
Bar del Convent,Cafe,Convent Courtyard Cafe,"C/ del Comerç 36, 08003 Barcelona","5-10 EUR","Cold drink in a 17th-century convent cloister next door to the Born Centre - shaded, silent, no tourists. Tue-Sun.",N/A
Parc de la Ciutadella,Sight,City Park,"Passeig de Picasso 21, 08003 Barcelona","Free; rowing boats ~6 EUR / 30 min","Optional 17:00 stop, 10 min east. The Cascada fountain that a student Gaudi worked on, and rowing boats on the lake - the cheap thrill if the teens have legs left. Daily 06:00-23:00.",N/A
La Cova Fumada,Dinner,Local Institution,"C/ del Baluard 56, 08003 Barcelona","10-15 EUR/person as a first-round bite","18:15 - THE SINGLE BEST REASON TO RUN OPTION B ON A FRIDAY. Open since 1944, NO SIGN on the door (look for brown shutters and a crowd), chalkboard menu, communal marble tables, CASH ONLY. The bomba was invented in this room. Order bombes, la raspa (fried anchovy spines, eaten whole), grilled sardines, chickpeas with morcilla. THE EVENING SERVICE IS THURSDAYS AND FRIDAYS ONLY, 18:00-20:00, and they close at 20:00 whether or not you have finished - be at the door at 18:15, not 19:30. Call +34 932 21 40 61 in the morning to check they are not on a summer holiday day. Backup 2 min away: Bar Jai-Ca.",N/A
Barceloneta Beach,Sight,City Beach,"Passeig Maritim de la Barceloneta, 08003 Barcelona",Free,"19:15 - sand cooled, day-trippers gone, lifeguards on until ~19:30, sea ~24 C. Free showers on the boardwalk. ONE ADULT OWNS BAG-WATCH ON THE SAND AT ALL TIMES - prime pickpocket ground and phones left on towels vanish.",N/A
Font de Carmen Amaya,Sight,Monument / Fountain,"Plaça de Brugada, 08003 Barcelona",Free,"19:45, two minutes, free, a block back from the sand. A tiled fountain to the greatest bailaora of the 20th century, born in 1913 in the Somorrostro - the shanty-town that stood on this beach until 1966. Barcelona's whole claim on flamenco starts on this spot.",N/A
Bar Jai-Ca,Dinner,Seafood Tapas,"C/ de Ginebra 13, 08003 Barcelona","15-25 EUR/person","20:45 - THE DINNER PICK, after sunset on the boardwalk (~20:31). The 1955 Barceloneta classic: bombas, la raspa, razor clams, calamari, cold beer, plastic-stool energy. Daily ~09:00-23:00. Also the standing backup if La Cova Fumada is shut.",N/A
Bodega La Peninsular,Dinner,Seafood Bodega,"C/ del Mar, 08003 Barcelona","15-25 EUR/person","Dinner alternative. High ceilings, marble tables, a chalkboard that changes with the catch - one of the few Barceloneta rooms still pointed at fresh fish rather than reheated tourist paella. Verify August hours.",N/A
La Mar Salada,Dinner,Paella / Market Fish,"Passeig de Joan de Borbo 58, 08003 Barcelona","30-45 EUR/person","Dinner alternative if you want the rice. Waterfront paella and market fish done properly - more intimate than 7 Portes and easier to get into. BOOK IN THE MORNING. WARNING: the front row of Pg. de Joan de Borbo is a tourist trap - laminated photo menus, 24 EUR frozen paella. If a man outside invites you in, keep walking.",N/A
Palau Dalmases,Activity,Flamenco Tablao,"C/ de Montcada 20, 08003 Barcelona","~30 EUR/person incl. a drink","OPTIONAL 21:30 - flamenco in the candlelit baroque salon of a 17th-century palace, ~70 seats, no stage, dancers within arm's reach. Three minutes from Santa Maria del Mar and opposite the Picasso, i.e. already on today's route, and the only evening this trip with room for it. Doing it means eating at Cova Fumada 18:15 plus a light bite in El Born, taking the beach earlier, and being seated by 21:15. Los Tarantos on Plaça Reial is the low-commitment version: 30 min, ~20 EUR, hourly from 19:30.",N/A
Barceloneta (Metro L4),Transport,Metro Station,"Plaça de Font, 08003 Barcelona","1.255 EUR/ride on the T-casual","22:00 home - L4 from Barceloneta to Verdaguer (5 stops), change to L5, one stop to Sagrada Familia. ~20 min. Taxi or Bolt is 10-12 EUR if legs are done.",N/A
